station_id,name,id,free_bikes,empty_slots,has_ebikes,ebikes,slots,renting,returning,latitude,longitude,timestamp
e287c24d95d9f0e3767d167d83ecebcd,Omer-Lavallée / du Midway,e287c24d95d9f0e3767d167d83ecebcd,1,17,True,1,18,1,1,45.5457759528664,-73.56217458844185,2023-08-31T14:04:03.112000Z
4cb50bc7e3ed79928cef296e135b1e84,Parc Noel-Nord (Toupin / Keller),4cb50bc7e3ed79928cef296e135b1e84,11,7,True,2,19,1,1,45.51758306374252,-73.72661411762238,2023-08-31T14:04:03.116000Z
a44871a432bc65d33bfb1ed04dab02ca,Parc du Bois-Franc (de l'Équateur / des Andes),a44871a432bc65d33bfb1ed04dab02ca,11,8,True,1,19,1,1,45.51317758246596,-73.71306091547012,2023-08-31T14:04:03.116000Z
7b71605bd83572e8804e860f434f1055,Parc Grovehill (St-Antoine / Ivan-Franko),7b71605bd83572e8804e860f434f1055,9,5,True,3,15,1,1,45.43982382100397,-73.69487822055817,2023-08-31T14:04:03.117000Z
10a32e00bc65e9fb33eef10d6e3e75e9,Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),10a32e00bc65e9fb33eef10d6e3e75e9,1,10,True,0,11,1,1,45.6027276,-73.5579303,2023-08-31T14:04:03.119000Z
79817ddade43d27901df8f29feaebc39,Aréna Chaumont (Chaumont / des Ormeaux),79817ddade43d27901df8f29feaebc39,3,16,True,2,19,1,1,45.610926628992026,-73.54673445224762,2023-08-31T14:04:03.120000Z
a75f61cc35fc749366c8e6ef816fb8a0,Parc Chamberland (Dorais / de l'Église),a75f61cc35fc749366c8e6ef816fb8a0,16,2,True,1,19,1,1,45.502989,-73.689113,2023-08-31T14:04:03.121000Z
abd3530a2acf6d587950005b613d40cb,Parc Summerlea (53e avenue / St-Joseph),abd3530a2acf6d587950005b613d40cb,6,8,True,2,15,1,1,45.43836713933041,-73.71546685695648,2023-08-31T14:04:03.132000Z
b77888871c6837a551022c5c739042ac,Parc Kirkland (des Érables / Boyer),b77888871c6837a551022c5c739042ac,8,7,True,1,15,1,1,45.44606092178209,-73.65079946815968,2023-08-31T14:04:03.134000Z
5782e71fd4ba8263a67de59b093dc320,William / Robert-Bourassa,5782e71fd4ba8263a67de59b093dc320,15,6,True,0,21,1,1,45.49716534003792,-73.55933010578154,2023-08-31T14:04:03.154000Z
d8bf2d80c73cf09dbfd6b7f76d063424,Quai de la navette fluviale,d8bf2d80c73cf09dbfd6b7f76d063424,13,4,True,2,19,1,1,45.51366626207095,-73.53842496871948,2023-08-31T14:04:03.159000Z
d0fc3a82ee0af511ffda9618f1263b84,Lapierre / Serge,d0fc3a82ee0af511ffda9618f1263b84,8,7,True,1,15,1,1,45.43854405099729,-73.62021625041962,2023-08-31T14:04:03.170000Z
efd89dd6cc7db7e7ea67a4ccb75372a1,Parc St-Louis (St-Joseph / 34e avenue),efd89dd6cc7db7e7ea67a4ccb75372a1,9,18,True,2,27,1,1,45.432839840726125,-73.69349151849747,2023-08-31T14:04:03.182000Z
4e1cd6aa776d6e4078886c39f454b29f,Victoria / 18e avenue Lachine,4e1cd6aa776d6e4078886c39f454b29f,3,10,True,1,15,1,1,45.43579350588776,-73.6801904439926,2023-08-31T14:04:03.182000Z
d9fdeeb4d94f016bff5cd776466d6a30,Métro Jolicoeur (de Sève / Drake),d9fdeeb4d94f016bff5cd776466d6a30,15,2,True,1,19,1,1,45.45608545783109,-73.58193710446358,2023-08-31T14:04:03.189000Z
ab865ab695ca69089498736e6bac9a16,Duchesneau / de Marseille,ab865ab695ca69089498736e6bac9a16,10,8,True,1,19,1,1,45.60962627826218,-73.52273898082785,2023-08-31T14:04:03.208000Z
a0166a9345b73dbd0b09f883e665a8f8,Papineau / Émile-Journault,a0166a9345b73dbd0b09f883e665a8f8,20,14,True,10,35,1,1,45.55988367688166,-73.63356828689575,2023-08-31T14:04:03.244000Z
c91d47b7a498fe1a3016800f0678f419,LaSalle / Godin,c91d47b7a498fe1a3016800f0678f419,12,12,True,1,27,1,1,45.44693448484644,-73.57219934463501,2023-08-31T14:04:03.246000Z
ab65f5f1207275299c5d897fa65e1347,Parc Delorme (Malouin / Laferté),ab65f5f1207275299c5d897fa65e1347,11,8,True,4,19,1,1,45.5904902,-73.5902694,2023-08-31T14:04:03.285000Z
f95ae94bbf8d2dd56d009f8bbf21044a,Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),f95ae94bbf8d2dd56d009f8bbf21044a,8,6,True,5,15,1,1,45.57940569041942,-73.60258877277374,2023-08-31T14:04:03.287000Z
b43e650c8729a68e3a7858fbfbe57cbf,Parc Beaulac (rue Élizabeth),b43e650c8729a68e3a7858fbfbe57cbf,5,9,True,1,15,1,1,45.5200557245067,-73.67795147001743,2023-08-31T14:04:03.302000Z
5b9ad55443ed6b09dfdee5336b56b41b,Parc St-Laurent (Dutrisac),5b9ad55443ed6b09dfdee5336b56b41b,14,5,True,4,19,1,1,45.52591381815231,-73.68911147117615,2023-08-31T14:04:03.305000Z
bfc27d829d7ce8c0f9e55b1cab901cbb,CHSLD St-Michel (8e avenue / Jarry),bfc27d829d7ce8c0f9e55b1cab901cbb,2,10,True,1,15,1,1,45.5616903,-73.610512,2023-08-31T14:04:03.310000Z
