,station_id,name,id,empty_slots,has_ebikes,ebikes,slots,renting,returning,latitude,longitude,timestamp
674,1b4e99760f4007a289ef12126349d2fe,Parc Laurier (Laurier / Dubuc),1b4e99760f4007a289ef12126349d2fe,16,True,1,19,1,1,45.533610547532355,-73.47374618053436,2023-08-28T14:41:43.752000Z
675,e8b5baff8763847b5344ab445bfb73b7,Villeneuve / St-Laurent,e8b5baff8763847b5344ab445bfb73b7,3,True,2,23,1,1,45.521269382097486,-73.58956933021545,2023-08-28T14:41:43.451000Z
676,331c714130ef6e2ca0007f552ea7a77b,Villeneuve / du Parc,331c714130ef6e2ca0007f552ea7a77b,11,True,0,15,1,1,45.51801230878908,-73.59256982808802,2023-08-28T14:41:44.303000Z
677,0637583d2cd96bc5568da23bd700b198,Émile-Duployé / Sherbrooke,0637583d2cd96bc5568da23bd700b198,17,True,0,23,1,1,45.5278406266837,-73.56588721280787,2023-08-28T14:41:43.566000Z
678,faf37dc745f8802b34a0c53f2f55a079,Parc Olympique (Pie-IX / Sherbrooke),faf37dc745f8802b34a0c53f2f55a079,13,True,3,25,1,1,45.554824549823,-73.55370283126831,2023-08-28T14:41:43.969000Z
679,f046d7c00aae3ff92c702141f6475fe9,Crescent / de Maisonneuve,f046d7c00aae3ff92c702141f6475fe9,10,True,7,23,1,1,45.49812041247333,-73.57759594917297,2023-08-28T14:41:43.940000Z
680,05f141e61629ef218fc51a3f4969d489,St-Dominique / du Mont-Royal,05f141e61629ef218fc51a3f4969d489,20,True,0,23,1,1,45.52055948154798,-73.58582027256489,2023-08-28T14:41:44.300000Z
681,fb88f8d82067a1df86928727c6fadfc0,Hôpital Pierre-Boucher (Jacques-Cartier / Bourdon),fb88f8d82067a1df86928727c6fadfc0,10,True,1,19,1,1,45.536532102952236,-73.4576690196991,2023-08-28T14:41:43.929000Z
682,d807ba1927007377643362ea1dfab494,de la Montagne / Sherbrooke,d807ba1927007377643362ea1dfab494,17,True,2,19,1,1,45.500015468871446,-73.57938900589943,2023-08-28T14:41:44.121000Z
683,ec132b59e1a5fa45c604240a3c258eb6,Chambord / St-Joseph,ec132b59e1a5fa45c604240a3c258eb6,19,True,0,19,1,1,45.53206384071709,-73.58226299285889,2023-08-28T14:41:43.553000Z
684,bd2fc7309def1255bf1611e25cd176f7,Parc Plage,bd2fc7309def1255bf1611e25cd176f7,3,True,3,19,1,1,45.50263299287665,-73.52748987080304,2023-08-28T14:41:43.527000Z
685,cd185bcb977059337ef71026ca9f75bf,Plymouth / Chem.Eden,cd185bcb977059337ef71026ca9f75bf,10,True,0,15,1,1,45.506488823782234,-73.66047888994217,2023-08-28T14:41:43.790000Z
686,66bb98a5d35f74c7cc6f5951b7c78e4f,Parc Maisonneuve (Viau / Sherbrooke),66bb98a5d35f74c7cc6f5951b7c78e4f,9,True,5,23,1,1,45.56493679334249,-73.5555911064148,2023-08-28T14:41:43.544000Z
687,d4b0eb7bc61aae6326fe725d85da751d,Chambord / Beaubien,d4b0eb7bc61aae6326fe725d85da751d,21,True,1,23,1,1,45.539900246044354,-73.59936207532883,2023-08-28T14:41:44.090000Z
688,81835dccb50d8900b00cc0a3ea1b480f,Duke / Nazareth,81835dccb50d8900b00cc0a3ea1b480f,9,True,1,15,1,1,45.49572236030835,-73.55461344122887,2023-08-28T14:41:43.775000Z
689,644b526864832172e7ee3bf91f2e81ca,Wolfe / de la Gauchetière,644b526864832172e7ee3bf91f2e81ca,23,True,0,23,1,1,45.51625372636654,-73.55291748050148,2023-08-28T14:41:43.531000Z
690,021186cc14acfe5a05a3d4b5cc35ff8a,McGill / Wellington,021186cc14acfe5a05a3d4b5cc35ff8a,3,True,3,31,1,1,45.499447710650415,-73.55489909648894,2023-08-28T14:41:43.728000Z
691,2b9e2e02951cbf0f3386b55b303d7105,Parc Molson (d'Iberville / Beaubien),2b9e2e02951cbf0f3386b55b303d7105,19,True,0,19,1,1,45.54902230455398,-73.59198164194822,2023-08-28T14:41:43.795000Z
692,07151bf35f8c11187f1e4e0c0311b250,de Bellechasse / de Lanaudière,07151bf35f8c11187f1e4e0c0311b250,10,True,3,19,1,1,45.539306918976,-73.59521873295307,2023-08-28T14:41:44.181000Z
693,cf435fa476bfc09c2ec8c86e9f2c22f6,Ellendale / de la Côte-des-Neiges,cf435fa476bfc09c2ec8c86e9f2c22f6,12,True,2,31,1,1,45.49966955063677,-73.62923383712769,2023-08-28T14:41:44.136000Z
694,f82178fd8ad9f5d2d51cbb079bf64818,Lincoln / du Fort,f82178fd8ad9f5d2d51cbb079bf64818,11,True,0,15,1,1,45.4930266623113,-73.58389592183812,2023-08-28T14:41:43.529000Z
695,47849d68770ba9af7b1aede61cfece02,St-Sylvestre / St-Charles,47849d68770ba9af7b1aede61cfece02,18,True,1,23,1,1,45.53638893500808,-73.51245582103729,2023-08-28T14:41:43.476000Z
696,4fe6b12b4792320f5835327e055c9a92,Gare LaSalle (Highlands),4fe6b12b4792320f5835327e055c9a92,14,True,1,19,1,1,45.425612687757926,-73.65713578464238,2023-08-28T14:41:43.755000Z
697,56e9c5a84f7107e196266e678315d5e4,St-Hubert / René-Levesque,56e9c5a84f7107e196266e678315d5e4,16,True,0,19,1,1,45.514369201445305,-73.55648696422577,2023-08-28T14:41:43.464000Z
698,b15109d9282a8fb0f2bf73265d357c8d,Durocher / Beaumont,b15109d9282a8fb0f2bf73265d357c8d,7,True,7,23,1,1,45.52799772330074,-73.61919969320297,2023-08-28T14:41:44.213000Z
699,e2cf66a0da3c867233306941853190b4,de l'Hôtel-de-Ville / Viger,e2cf66a0da3c867233306941853190b4,8,True,0,19,1,1,45.509556992257025,-73.55740696191788,2023-08-28T14:41:43.554000Z
700,45ad8cdd0cfd3980316114c01dacee86,Tupper / du Fort,45ad8cdd0cfd3980316114c01dacee86,12,True,2,15,1,1,45.49122961531575,-73.58078241348267,2023-08-28T14:41:43.658000Z
701,2476230f8d661fdb5367ed2c2d41d4b1,Mozart / St-Laurent,2476230f8d661fdb5367ed2c2d41d4b1,19,True,2,22,1,1,45.53328624709234,-73.61546382309369,2023-08-28T14:41:43.666000Z
702,20f7dc366cab76a84531b65e16252f5b,Hôpital Santa Cabrini (de Pontoise / d'Évreux),20f7dc366cab76a84531b65e16252f5b,8,True,3,15,1,1,45.58135403391153,-73.57260999085156,2023-08-28T14:41:44.133000Z
703,85f495db4bcf79e15029dcc21da9b2a7,Métro Mont-Royal (Utilités publiques / Rivard),85f495db4bcf79e15029dcc21da9b2a7,2,True,0,31,1,1,45.52423612093815,-73.58155220746994,2023-08-28T14:41:43.421000Z
